accuracy,dice_coef,iou_score,loss,val_accuracy,val_dice_coef,val_iou_score,val_loss,learning_rate
0.9549180269241333,0.9282723665237427,0.8752516508102417,0.09341307729482651,0.2968394458293915,0.453369140625,0.2968243956565857,73.9956283569336,0.0010000000474974513
0.9717940092086792,0.9504284262657166,0.9062901735305786,0.06183440983295441,0.3230985701084137,0.4655771851539612,0.30565354228019714,1.1037929058074951,0.0010000000474974513
0.9707845449447632,0.9496541023254395,0.904744565486908,0.06235161051154137,0.32516446709632874,0.4583181142807007,0.3012515902519226,0.6932193636894226,0.0010000000474974513
0.9757393002510071,0.9584348201751709,0.9205166697502136,0.04882296547293663,0.9346543550491333,0.8982713222503662,0.8157519102096558,0.33813393115997314,0.0010000000474974513
0.9727405309677124,0.9506276249885559,0.906815767288208,0.058740586042404175,0.9240670204162598,0.885344386100769,0.7951644659042358,0.22715593874454498,0.0010000000474974513
0.9744538068771362,0.9561648964881897,0.916330099105835,0.05202287435531616,0.9632993340492249,0.9426297545433044,0.8916491866111755,0.1847296804189682,0.0010000000474974513
0.9748543500900269,0.9551826119422913,0.9153986573219299,0.05071375519037247,0.9550960063934326,0.9218193888664246,0.8551539182662964,0.15519943833351135,0.0010000000474974513
0.9768785834312439,0.9596023559570312,0.9229017496109009,0.046179432421922684,0.9657840132713318,0.937299370765686,0.8823010325431824,0.09500165283679962,0.0010000000474974513
0.9762489795684814,0.9569454789161682,0.9184037446975708,0.0486726239323616,0.9659852385520935,0.9428614974021912,0.8922653198242188,0.07513715326786041,0.0010000000474974513
0.9786083698272705,0.9610267281532288,0.9256475567817688,0.04484301060438156,0.9715040326118469,0.946387529373169,0.8984305262565613,0.08971159160137177,0.0010000000474974513
0.9819079041481018,0.9689105153083801,0.9400317668914795,0.03782742843031883,0.9809593558311462,0.9687505960464478,0.9396406412124634,0.04023106023669243,0.0010000000474974513
0.9841855764389038,0.972423791885376,0.9465307593345642,0.033667583018541336,0.9820849895477295,0.9638994336128235,0.9305596947669983,0.0400775708258152,0.0010000000474974513
0.9848147034645081,0.9713962078094482,0.9456733465194702,0.03359217569231987,0.9765949249267578,0.9612600207328796,0.9258077144622803,0.05426497384905815,0.0010000000474974513
0.9867315292358398,0.9764439463615417,0.9540310502052307,0.02806701697409153,0.9868354797363281,0.9774512648582458,0.9559561610221863,0.029198534786701202,0.0010000000474974513
0.9871300458908081,0.9776328802108765,0.9563254117965698,0.027680452913045883,0.9787492156028748,0.9633535146713257,0.9293779730796814,0.04830675572156906,0.0010000000474974513
0.9875685572624207,0.9793621897697449,0.9595900774002075,0.025415629148483276,0.9849940538406372,0.9742234945297241,0.9497886300086975,0.030890649184584618,0.0010000000474974513
0.9882821440696716,0.97918701171875,0.9593002796173096,0.024895327165722847,0.9846786856651306,0.9730250239372253,0.9475274682044983,0.033425427973270416,0.0010000000474974513
0.9881584048271179,0.9792489409446716,0.9594305157661438,0.025332629680633545,0.9868260025978088,0.9756271243095398,0.9525416493415833,0.028827272355556488,0.0010000000474974513
0.9879214763641357,0.9784901142120361,0.9580146670341492,0.02558874897658825,0.9821010231971741,0.9668174982070923,0.936007559299469,0.044643230736255646,0.0010000000474974513
0.9882234334945679,0.9789519906044006,0.9588342905044556,0.02513904869556427,0.9759796857833862,0.9612500667572021,0.9255470633506775,0.07083292305469513,0.0010000000474974513
0.9880483150482178,0.978232741355896,0.9576470255851746,0.026305073872208595,0.982087254524231,0.9674705862998962,0.9372193217277527,0.047583628445863724,0.0010000000474974513
0.988399088382721,0.9807208180427551,0.9622191190719604,0.023881778120994568,0.9837589263916016,0.9707407355308533,0.943368136882782,0.03993656486272812,0.0010000000474974513
0.9864578247070312,0.9745545387268066,0.950930655002594,0.029837695881724358,0.9749596118927002,0.9560843110084534,0.9161227941513062,0.06580942869186401,0.0010000000474974513
0.9876249432563782,0.9782922267913818,0.9576187133789062,0.026258559897542,0.9876969456672668,0.9796203374862671,0.9600808620452881,0.025085574015975,0.00020000000949949026
0.9890671372413635,0.9804184436798096,0.9616340398788452,0.02362745627760887,0.9854719638824463,0.9734653830528259,0.9485868215560913,0.032726261764764786,0.00020000000949949026
0.9887445569038391,0.9809581637382507,0.9626671075820923,0.023288080468773842,0.9871523380279541,0.9778625965118408,0.9567127823829651,0.027747945860028267,0.00020000000949949026
0.9889578223228455,0.9810863137245178,0.9629277586936951,0.0227983295917511,0.9863635897636414,0.9775410294532776,0.9561037421226501,0.027881363406777382,0.00020000000949949026
0.989460289478302,0.9809024333953857,0.9625977277755737,0.02263065241277218,0.9865936636924744,0.9761669039726257,0.9535760283470154,0.03018200770020485,0.00020000000949949026
0.9888679385185242,0.9813551902770996,0.963428258895874,0.02283567748963833,0.984160840511322,0.973071813583374,0.9476891160011292,0.035740677267313004,0.00020000000949949026
0.98915696144104,0.9811986088752747,0.9631209373474121,0.022487465292215347,0.9869887828826904,0.97637540102005,0.9539337754249573,0.02841901406645775,4.0000002627493814e-05
0.98972088098526,0.982093870639801,0.9648689031600952,0.021658990532159805,0.9858921766281128,0.9762077331542969,0.9535824656486511,0.03096238523721695,4.0000002627493814e-05
0.9896335005760193,0.9821915626525879,0.9650490283966064,0.021881595253944397,0.9867786169052124,0.9757372736930847,0.952743649482727,0.030117474496364594,4.0000002627493814e-05
0.9897002577781677,0.9813342094421387,0.9634373188018799,0.021715903654694557,0.986967146396637,0.9765326976776123,0.9543074369430542,0.03017500229179859,4.0000002627493814e-05
0.9894081950187683,0.9823595881462097,0.9653564095497131,0.02169402875006199,0.9868993163108826,0.9786521792411804,0.958225429058075,0.02797643654048443,4.0000002627493814e-05
0.9892895817756653,0.9754490852355957,0.9560567736625671,0.025904834270477295,0.9872214794158936,0.9778672456741333,0.9567591547966003,0.028443558141589165,8.000000889296643e-06
0.9895091652870178,0.9821693301200867,0.9649959206581116,0.02168487384915352,0.9861363768577576,0.9774104356765747,0.9559053182601929,0.0300202164798975,8.000000889296643e-06
0.989846408367157,0.9828312397003174,0.9662973880767822,0.021031878888607025,0.9872367978096008,0.9784585237503052,0.9578586220741272,0.027512874454259872,8.000000889296643e-06
0.9897668957710266,0.9813260436058044,0.9633748531341553,0.021931780502200127,0.9869161248207092,0.9764686822891235,0.9541101455688477,0.031052442267537117,8.000000889296643e-06
0.9897028803825378,0.9817479848861694,0.964192271232605,0.021815020591020584,0.9869392514228821,0.9763238430023193,0.9538501501083374,0.029877038672566414,8.000000889296643e-06
